best_model_from,epoch,seed,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_METEOR,test_ROUGE_L,time,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_BLEU_4,val_METEOR,val_ROUGE_L
val,5.0,456789.0,0.4318567955131848,0.3106197743084742,0.2355933615684515,0.1710221794643437,0.2023699037368562,0.4503921114976014,Fri Jul  9 00:48:25 2021,2.2906565595029007,0.4292409809747855,0.30735921074366,0.2327017726985416,0.1673992801057728,0.1984509016296852,0.4429274830717119
test,5.0,456789.0,0.4318567955131848,0.3106197743084742,0.2355933615684515,0.1710221794643437,0.2023699037368562,0.4503921114976014,Fri Jul  9 00:48:25 2021,2.2906565595029007,0.4292409809747855,0.30735921074366,0.2327017726985416,0.1673992801057728,0.1984509016296852,0.4429274830717119
val,16.0,456789.0,0.3191411985603521,0.1969416430251598,0.1402328153132628,0.0891260369442735,0.1211973455811062,0.3138944765456948,Sat Jul 10 18:54:46 2021,1.9812524130095297,0.3133707523704659,0.1931108746429654,0.1365191144771072,0.0848447736200575,0.1205229335095581,0.3141219864191291
test,16.0,456789.0,0.3191411985603521,0.1969416430251598,0.1402328153132628,0.0891260369442735,0.1211973455811062,0.3138944765456948,Sat Jul 10 18:54:46 2021,1.9812524130095297,0.3133707523704659,0.1931108746429654,0.1365191144771072,0.0848447736200575,0.1205229335095581,0.3141219864191291
val,19.0,456789.0,0.3886717519920526,0.2681595109048825,0.2012257272442532,0.1418023367648967,0.1664619803858473,0.3946347524543695,Mon Jul 12 14:44:40 2021,1.957594949451845,0.3890861847823277,0.2673428418181617,0.1986933065282589,0.1375039060582819,0.1637122085030122,0.3890029335969066
test,20.0,456789.0,0.3909940590367812,0.2703891703050011,0.2031093296582126,0.1433155747777184,0.1663613096125735,0.3958285980709665,Mon Jul 12 14:44:40 2021,1.9599598123066464,0.3861569485612317,0.2648858567434448,0.196386820708355,0.134759363235127,0.1610598850702327,0.3864507071555004
val,15.0,9223.0,0.0642300295631745,0.0395637567784758,0.0255673484948819,0.0173587495291881,0.0707814880760927,0.244247054261022,Sun Jul 18 17:17:31 2021,3.111032506015813,0.107161871101341,0.0656128057628464,0.0424300355597196,0.0282979821150191,0.0808746135377864,0.26889424655956
test,19.0,9223.0,0.0687771992431712,0.0426366255537694,0.0279270549894376,0.0191708841395824,0.0709032907202249,0.2469984932613753,Sun Jul 18 17:17:31 2021,3.064559205670223,0.1014560199725725,0.0618454936151035,0.0400292094141348,0.0267219480680954,0.0805566133472697,0.270671773599659
val,19.0,9223.0,0.003915054916346613,0.0024165983672085963,0.0016273420653290882,0.001131355829770126,0.03568131514558128,0.19308751510880381,Mon Jul 19 04:58:36 2021,3.09527839232828,0.024088327692199266,0.01426003318702653,0.009067671424184767,0.005921211899549496,0.04839495805811016,0.21619189071667275
test,20.0,9223.0,0.009666139406831592,0.005958178628062338,0.003965158535400994,0.002744554952501135,0.041341278534564666,0.19936768080011402,Mon Jul 19 04:58:36 2021,3.083097444516476,0.02330663483126212,0.01382797525420412,0.008850128651364303,0.005844507563963894,0.04836501360605656,0.2159811078860726
